case,match_status,delta_phase_case,tau,ssa,hg_g,sun_zenith_deg,view_zenith_deg,relative_azimuth_deg,scattering_cosine,cuda_directional_brf,cuda_standard_error_brf,cuda_ci95_low_brf,cuda_ci95_high_brf,analytic_hg_single_brf,cuda_directional_higher_brf,legacy_hg_proxy_brf_octave1,legacy_hg_proxy_brf_octave6,legacy_hg_proxy_higher_brf,legacy_higher_scale_to_cuda,legacy_liquid_dual_hg_brf_octave1,legacy_liquid_dual_hg_brf_octave6,legacy_ice_dual_hg_brf_octave1,legacy_ice_dual_hg_brf_octave6,legacy_sphere_source_top,legacy_sphere_source_mid,legacy_sphere_source_bottom,legacy_sphere_source_top_over_direct,delta_hemispheric_toa_reflectance,delta_hemispheric_first_reflectance,delta_hemispheric_higher_reflectance,delta_hemispheric_bottom_direct_transmittance,delta_hemispheric_bottom_diffuse_transmittance,delta_atmosphere_absorptance,delta_energy_sum,observable_contract
clear_tau_0,exact_inputs_different_observables,forward-stress,0,0.999,0.84999999999999998,30,0,0,-0.86602540378443871,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,"CUDA/legacy columns are directional BRF; delta columns are hemispheric flux. They are juxtaposed, never divided or fitted to one another."
hrrr_like_wispy_tail_probe_tau_0p15,no_exact_delta_row,,0.14999999999999999,0.999,0.84999999999999998,30,0,0,-0.86602540378443871,0.0023629774012456544,3.5820741555975763e-05,0.0022927687477959421,0.0024331860546953667,0.0017963077466880797,0.00056666965455757471,0.0017981058525406268,0.0035986811242033488,0.0018005752716627221,0.31471589301250907,0.0070482830434906128,0.0092974979672209024,0.0077950699080416705,0.010236724913877325,1.1342958556238749,1.0460007524423423,0.9852221507756278,1.1342958556238749,,,,,,,,"CUDA/legacy columns are directional BRF; delta columns are hemispheric flux. They are juxtaposed, never divided or fitted to one another."
thin_liquid_tau_0p5,no_exact_delta_row,,0.5,0.999,0.84999999999999998,30,0,0,-0.86602540378443871,0.0095405993179532127,0.00012394211488706732,0.0092976727727745612,0.0097835258631318641,0.0042895730856039082,0.0052510262323493045,0.0042938669525564577,0.026379342446936169,0.022085475494379711,0.23775925647086837,0.01683126140207299,0.042744988121032529,0.018614584354816839,0.046288237294339445,1.5004115227769705,1.1953403923519028,1.0349629940556306,1.5004115227769705,,,,,,,,"CUDA/legacy columns are directional BRF; delta columns are hemispheric flux. They are juxtaposed, never divided or fitted to one another."
nssl_like_liquid_edge_probe_tau_2,no_exact_delta_row,,2,0.999,0.84999999999999998,30,0,0,-0.86602540378443871,0.060139403146446863,0.00047165116876809278,0.059214966855661404,0.061063839437232321,0.0064168192082623724,0.053722583938184493,0.0064232424507131031,0.28769725426744924,0.28127401181673611,0.19099732531702007,0.025178067679175849,0.32821596149811838,0.027845759952821007,0.3424586534353109,3.1783883112966045,1.9544509602568838,1.5478604676615075,3.1783883112966045,,,,,,,,"CUDA/legacy columns are directional BRF; delta columns are hemispheric flux. They are juxtaposed, never divided or fitted to one another."
liquid_mid_tau_8,no_exact_delta_row,,8,0.999,0.84999999999999998,30,0,0,-0.86602540378443871,0.33866584041570885,0.0012929375711479727,0.33613168277625882,0.34119999805515888,0.0065042464628868243,0.33216159395282202,0.0065107572201076377,0.50081828207408485,0.49430752485397722,0.67197357363909338,0.025521111368348549,0.55020393694066361,0.028225150156380479,0.56978979689023235,4.1495050808636398,1.4402335377874647,0.89893164621287669,4.1495050808636398,,,,,,,,"CUDA/legacy columns are directional BRF; delta columns are hemispheric flux. They are juxtaposed, never divided or fitted to one another."
thick_liquid_tau_25,no_exact_delta_row,,25,0.999,0.84999999999999998,30,0,0,-0.86602540378443871,0.67634370122705356,0.0018030127120378936,0.67280979631145932,0.67987760614264781,0.0065042466752115507,0.66983945455184202,0.0065107574327117577,0.50143894883831941,0.49492819140560768,1.3534073552154753,0.025521112201722301,0.55084569970161734,0.028225151078052783,0.57044505095524545,4.1523365623827315,0.61569205337005639,0.2831106461399624,4.1523365623827315,,,,,,,,"CUDA/legacy columns are directional BRF; delta columns are hemispheric flux. They are juxtaposed, never divided or fitted to one another."
thin_ice_proxy_tau_0p3,exact_inputs_different_observables,liquid-dual-hg-moment,0.29999999999999999,0.999,0.75,30,0,0,-0.86602540378443871,0.010510157186611096,7.1005775796667591e-05,0.010370985866049627,0.010649328507172564,0.0057589554104530384,0.0047512017761580571,0.0057647201305836109,0.014235223788706465,0.0084705036581228538,0.56091136583145873,0.012150009311986129,0.021289795434620569,0.013437339474860853,0.023285578266636756,1.2824053635718911,1.1027804591387349,0.99275671956259992,1.2824053635718911,0.027936343740921434,0.02249922519721706,0.0054371185437043744,0.85920365491518558,0.11250072255820646,0.00035927878568653426,1,"CUDA/legacy columns are directional BRF; delta columns are hemispheric flux. They are juxtaposed, never divided or fitted to one another."
nssl_like_ice_anvil_probe_tau_1,exact_inputs_different_observables,liquid-dual-hg-moment,1,0.999,0.75,30,0,0,-0.86602540378443871,0.049855356378334242,0.00024334135236286656,0.049378407327703024,0.050332305428965461,0.010694228826066497,0.039161127552267749,0.010704933759826259,0.10948562153188746,0.098780687772061199,0.39644518008047269,0.022562247935688885,0.12525409285001085,0.024952786211344065,0.13291802134782185,2.10923763796547,1.4825395429492927,1.2378987275502495,2.10923763796547,0.096223166159938422,0.051143087057318029,0.045080079102620393,0.60300426784480121,0.29948041136057729,0.0012921546346831292,1,"CUDA/legacy columns are directional BRF; delta columns are hemispheric flux. They are juxtaposed, never divided or fitted to one another."
ice_anvil_proxy_tau_3,exact_inputs_different_observables,liquid-dual-hg-moment,3,0.999,0.75,30,0,0,-0.86602540378443871,0.20869324898878056,0.00062256197970516898,0.20747302750855842,0.20991347046900269,0.012077842826250689,0.19661540616252987,0.012089932759009671,0.43596415504008262,0.42387422228107297,0.46385318056013625,0.02548134033843941,0.45781607697702115,0.028181165265798839,0.47532881184229914,3.7561934578169058,2.0715512922917676,1.534014253476315,3.7561934578169058,0.27396644415924781,0.069661227794854119,0.20430521636439369,0.21926088251329107,0.50223486858975919,0.0045378047377020447,1,"CUDA/legacy columns are directional BRF; delta columns are hemispheric flux. They are juxtaposed, never divided or fitted to one another."
oblique_sun_liquid_tau_2,no_exact_delta_row,,2,0.999,0.84999999999999998,70,0,0,-0.34202014332566882,0.1452667057321832,0.0014214063482672135,0.14248074928957946,0.14805266217478694,0.014761640506939908,0.1305050652252433,0.014776416923863833,0.8195422972527705,0.80476588032890661,0.16216525627541029,0.033929827810542629,0.86407471261987789,0.044697677775055254,0.89805770519602934,3.1783883112966045,1.5685909137541565,1.2303834405273508,3.1783883112966045,,,,,,,,"CUDA/legacy columns are directional BRF; delta columns are hemispheric flux. They are juxtaposed, never divided or fitted to one another."
oblique_view_liquid_tau_2,no_exact_delta_row,,2,0.999,0.84999999999999998,30,70,90,-0.29619813272602391,0.1817118002050036,0.0007644086152041043,0.18021355931920355,0.18321004109080366,0.017268798437854657,0.16444300176714893,0.01728608452237718,0.44270321809258678,0.4254171335702096,0.3865453193835921,0.037974572604310697,0.4796020602430433,0.050748115782771989,0.50806155401004482,3.1783883112966045,1.9544509602568838,1.5478604676615075,3.1783883112966045,,,,,,,,"CUDA/legacy columns are directional BRF; delta columns are hemispheric flux. They are juxtaposed, never divided or fitted to one another."
azimuthal_lobe_liquid_tau_2,no_exact_delta_row,,2,0.999,0.84999999999999998,60,60,180,-1,0.15685700304431097,0.0011374073631484803,0.15462768461253995,0.15908632147608198,0.010942273990154043,0.14591472905415692,0.010953227217371502,0.54455124037690528,0.53359801315953381,0.27345440847908797,0.049636943179991309,0.62899365743411628,0.052300413500961734,0.65349870289005385,3.1783883112966045,1.5014983404961104,1.4743429709389286,3.1783883112966045,,,,,,,,"CUDA/legacy columns are directional BRF; delta columns are hemispheric flux. They are juxtaposed, never divided or fitted to one another."
absorbing_stress_tau_2,no_exact_delta_row,,2,0.94999999999999996,0.84999999999999998,30,0,0,-0.86602540378443871,0.046053138805651352,0.00034638764551080104,0.045374219020450184,0.04673205859085252,0.0061020803281774299,0.039951058477473919,0.0064232424507131031,0.28769725426744924,0.28127401181673611,0.14203608153996111,0.025178067679175849,0.32821596149811838,0.027845759952821007,0.3424586534353109,3.1783883112966045,1.9544509602568838,1.5478604676615075,3.1783883112966045,,,,,,,,"CUDA/legacy columns are directional BRF; delta columns are hemispheric flux. They are juxtaposed, never divided or fitted to one another."
